Price,Displacement,Power,Torque,Cylinder_Config,Engine_Location,Fuel_System,Turbocharger,Emission_Norm,Fuel_Type,Fuel_Tank_Capacity,ARAI_Mileage,City_Mileage,Highway_Mileage,Body_Type,Length,Width,Height,Wheelbase,Kerb_Weight,GVW,Ground_Clearance,Boot_Space,Drivetrain,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Airbags,ABS,EBD,EBA,ESP,Traction_Control,Hill_Assist,ISOFIX,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Start/Stop_Button,Cruise_Control,Parking_Assistance,Rain_Wipers,Auto_Headlamps,Auto_Mirror,Adj_Steering,Seat_Height_Adjustment,Leather_Steering,Multi_Steering,Rear_Armrest,Cool_Glove_Box,Infotainment,Navigation_System,Bluetooth,USB,Multi_Display,Audiosystem,Make,Model,Variant,Cylinders,Valves/Cylinder,Doors,Seats,Number_of_Airbags
674960,1193,88.77,140.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,44.0,17.57,17.57,18.5,Hatchback,3825,1695,1562,2470,1095,1125,165,210,Front Wheel Drive,5,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Yes,No,No,Rear sensors,No,No,No,Rake,Electric Adjustment,No,Multifunction Steering Wheel,Audio Controls,No,Yes,No,Yes,Yes,Yes,Not on offer,Tata,Bolt,Xt Petrol,4,4,5,5,2
529035,1193,88.77,140.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,44.0,17.57,17.57,18.5,Hatchback,3825,1695,1562,2470,1095,1125,165,210,Front Wheel Drive,5,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,Multifunction Steering Wheel,Cup Holders,No,Yes,No,Yes,Yes,Yes,Not on offer,Tata,Bolt,Xe Petrol,4,4,5,5,2
590268,1193,88.77,140.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,44.0,17.57,17.57,18.5,Hatchback,3825,1695,1562,2470,1095,1125,165,210,Front Wheel Drive,5,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,Multifunction Steering Wheel,Cup Holders,No,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Tata,Bolt,Xm Petrol,4,4,5,5,2
614515,1193,88.77,140.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,44.0,17.57,17.57,18.5,Hatchback,3825,1695,1562,2470,1095,1125,165,210,Front Wheel Drive,5,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,Multifunction Steering Wheel,Cup Holders,No,Yes,No,Yes,Yes,Yes,Not on offer,Tata,Bolt,Xms Petrol,4,4,5,5,2
556130,1197,81.86,114.0,In-line,"Front, Longitudinal",Injection,Yes,BS IV,Bi-Fuel,43.0,20.5,13.8,20.5,Sedan,3995,1660,1520,2425,1100,1530,165,407,Front Wheel Drive,5,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,Yes,Rake,Manual Adjustment,No,No,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Xcent Prime,Cng T + (Cng +,4,4,4,5,2
536859,1197,81.86,114.0,In-line,"Front, Longitudinal",Injection,Yes,BS IV,Petrol,43.0,15.7,12.0,14.9,Sedan,3995,1660,1520,2425,1100,1530,165,407,Front Wheel Drive,5,Ventilated Disc,Drum,Mc Pherson Strut,Coupled Torsion Beam Axle,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,Cup Holders,No,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Xcent Prime,T,4,4,4,5,2
556130,1197,81.86,114.0,In-line,"Front, Longitudinal",Injection,Yes,BS IV,Petrol,43.0,17.1,12.0,15.7,Sedan,3995,1660,1520,2425,1100,1530,165,407,Front Wheel Drive,5,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Xcent Prime,T+,4,4,4,5,2
536859,1197,81.8,114.0,In-line,"Front, Longitudinal",Injection,Yes,BS IV,Bi-Fuel,43.0,20.5,13.8,20.5,Sedan,3995,1660,1520,2425,1100,1530,165,407,Front Wheel Drive,5,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,Yes,Rake,Manual Adjustment,No,No,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Xcent Prime,Cng T (Cng +,4,4,4,5,2
639616,1197,70.0,114.0,In-line,"Front, Longitudinal",Injection,Yes,BS IV,Diesel,43.0,20.14,18.0,20.4,Sedan,3995,1660,1520,2425,1100,1530,165,407,Front Wheel Drive,5,Ventilated Disc,Drum,Mc Pherson Strut,Coupled Torsion Beam Axle,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,Yes,Rake,Manual Adjustment,No,No,Cup Holders,No,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Xcent Prime,T+ Crdi,4,4,4,5,2
620297,1197,70.03,114.0,In-line,"Front, Longitudinal",Injection,Yes,BS IV,Diesel,43.0,20.0,18.0,20.4,Sedan,3995,1660,1520,2425,1100,1530,165,407,Front Wheel Drive,5,Ventilated Disc,Drum,Mc Pherson Strut,Coupled Torsion Beam Axle,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,Yes,Rake,Manual Adjustment,No,No,Cup Holders,No,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Xcent Prime,T Crdi,4,4,4,5,2
